Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	08:59:50	08:59:50	08:59:50			08:59:50	08:59:50	08:59:50	08:59:50	08:59:50	08:59:50	08:59:50	08:59:53	08:59:53	08:59:53	08:59:53	08:59:53	08:59:53			08:59:54	08:59:54		00:00:00		00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
1	08:59:54	08:59:54	08:59:54	08:59:54	08:59:54	08:59:54	08:59:54	08:59:54	08:59:54	08:59:54	08:59:54	08:59:54	08:59:57	08:59:57	08:59:57	08:59:57	08:59:57	08:59:57			08:59:57	08:59:57		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
2	08:59:57	08:59:57	08:59:57	08:59:57	08:59:57	08:59:57			08:59:57	08:59:57	08:59:57	08:59:57	08:59:59	08:59:59	08:59:59	08:59:59	08:59:59	08:59:59			09:00:00	09:00:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
3	09:00:00	09:00:00	09:00:00	09:00:00	09:00:00	09:00:00			09:00:00	09:00:00	09:00:00	09:00:00	09:00:02	09:00:02	09:00:02	09:00:02	09:00:02	09:00:02			09:00:02	09:00:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
4	09:00:03	09:00:03	09:00:03	09:00:03	09:00:03	09:00:03			09:00:03	09:00:03	09:00:03	09:00:03	09:00:05	09:00:05	09:00:05	09:00:05	09:00:05	09:00:05			09:00:05	09:00:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
5	09:00:05	09:00:05	09:00:05	09:00:05	09:00:05	09:00:05			09:00:05	09:00:05	09:00:05	09:00:05	09:00:07	09:00:07	09:00:07	09:00:07	09:00:07	09:00:07			09:00:08	09:00:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
6	09:00:08	09:00:08	09:00:08	09:00:08	09:00:08	09:00:08			09:00:08	09:00:08	09:00:08	09:00:08	09:00:10	09:00:10	09:00:10	09:00:10	09:00:10	09:00:10			09:00:10	09:00:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
7	09:00:11	09:00:11	09:00:11	09:00:11	09:00:11	09:00:11			09:00:11	09:00:11	09:00:11	09:00:11	09:00:13	09:00:13	09:00:13	09:00:13	09:00:13	09:00:13			09:00:13	09:00:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
8	09:00:13	09:00:13	09:00:13	09:00:13	09:00:13	09:00:13			09:00:13	09:00:13	09:00:13	09:00:13	09:00:15	09:00:15	09:00:15	09:00:15	09:00:15	09:00:15			09:00:16	09:00:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
9	09:00:16	09:00:16	09:00:16	09:00:16	09:00:16	09:00:16			09:00:16	09:00:16	09:00:16	09:00:16	09:00:18	09:00:18	09:00:18	09:00:18	09:00:18	09:00:18			09:00:18	09:00:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
10	09:00:19	09:00:19	09:00:19	09:00:19	09:00:19	09:00:19	09:00:19	09:00:19	09:00:19	09:00:19	09:00:19	09:00:19	09:00:21	09:00:21	09:00:21	09:00:21	09:00:21	09:00:21	09:00:21	09:00:21	09:00:21	09:00:21		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
