Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	17:25:11	17:25:11	17:25:11			17:25:11	17:25:11	17:25:11	17:25:11	17:25:11	17:25:11	17:25:11	17:25:13	17:25:13	17:25:13	17:25:13	17:25:13	17:25:13			17:25:14	17:25:14		00:00:00		00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
1	17:25:15	17:25:15	17:25:15	17:25:15	17:25:15	17:25:15	17:25:15	17:25:15	17:25:15	17:25:15	17:25:15	17:25:15	17:25:16	17:25:16	17:25:16	17:25:16	17:25:16	17:25:16			17:25:17	17:25:17		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
2	17:25:17	17:25:17	17:25:17	17:25:17	17:25:17	17:25:17			17:25:17	17:25:17	17:25:17	17:25:17	17:25:18	17:25:18	17:25:18	17:25:18	17:25:18	17:25:18			17:25:19	17:25:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
3	17:25:19	17:25:19	17:25:19	17:25:19	17:25:19	17:25:19			17:25:19	17:25:19	17:25:19	17:25:19	17:25:21	17:25:21	17:25:21	17:25:21	17:25:21	17:25:21			17:25:21	17:25:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	17:25:21	17:25:21	17:25:21	17:25:21	17:25:21	17:25:21			17:25:21	17:25:21	17:25:21	17:25:21	17:25:23	17:25:23	17:25:23	17:25:23	17:25:23	17:25:23			17:25:23	17:25:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	17:25:23	17:25:23	17:25:23	17:25:23	17:25:23	17:25:23			17:25:23	17:25:23	17:25:23	17:25:23	17:25:25	17:25:25	17:25:25	17:25:25	17:25:25	17:25:25			17:25:25	17:25:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
6	17:25:25	17:25:25	17:25:25	17:25:25	17:25:25	17:25:25			17:25:25	17:25:25	17:25:25	17:25:25	17:25:26	17:25:26	17:25:26	17:25:26	17:25:26	17:25:26			17:25:27	17:25:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
7	17:25:27	17:25:27	17:25:27	17:25:27	17:25:27	17:25:27			17:25:27	17:25:27	17:25:27	17:25:27	17:25:28	17:25:28	17:25:28	17:25:28	17:25:28	17:25:28			17:25:28	17:25:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
8	17:25:28	17:25:28	17:25:28	17:25:28	17:25:28	17:25:28			17:25:28	17:25:28	17:25:28	17:25:28	17:25:30	17:25:30	17:25:30	17:25:30	17:25:30	17:25:30			17:25:30	17:25:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
9	17:25:30	17:25:30	17:25:30	17:25:30	17:25:30	17:25:30			17:25:30	17:25:30	17:25:30	17:25:30	17:25:31	17:25:31	17:25:31	17:25:31	17:25:31	17:25:31			17:25:32	17:25:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
10	17:25:32	17:25:32	17:25:32	17:25:32	17:25:32	17:25:32	17:25:32	17:25:32	17:25:32	17:25:32	17:25:32	17:25:32	17:25:33	17:25:33	17:25:33	17:25:33	17:25:33	17:25:33	17:25:33	17:25:33	17:25:33	17:25:33		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
