Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	11:38:52	11:38:52	11:38:52			11:38:52	11:38:52	11:38:52	11:38:52	11:38:52	11:38:52	11:38:52	11:38:55	11:38:55	11:38:55	11:38:55	11:38:55	11:38:55			11:38:57	11:38:57		00:00:00		00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
1	11:38:57	11:38:57	11:38:57	11:38:57	11:38:57	11:38:57	11:38:57	11:38:57	11:38:57	11:38:57	11:38:57	11:38:57	11:39:00	11:39:00	11:39:00	11:39:00	11:39:00	11:39:00			11:39:01	11:39:01		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
2	11:39:01	11:39:01	11:39:01	11:39:01	11:39:01	11:39:01			11:39:01	11:39:01	11:39:01	11:39:01	11:39:04	11:39:04	11:39:04	11:39:04	11:39:04	11:39:04			11:39:04	11:39:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
3	11:39:04	11:39:04	11:39:04	11:39:04	11:39:04	11:39:04			11:39:04	11:39:04	11:39:04	11:39:04	11:39:06	11:39:06	11:39:06	11:39:06	11:39:06	11:39:06			11:39:07	11:39:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
4	11:39:07	11:39:07	11:39:07	11:39:07	11:39:07	11:39:07			11:39:07	11:39:07	11:39:07	11:39:07	11:39:09	11:39:09	11:39:09	11:39:09	11:39:09	11:39:09			11:39:09	11:39:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
5	11:39:09	11:39:09	11:39:09	11:39:09	11:39:09	11:39:09			11:39:09	11:39:09	11:39:09	11:39:09	11:39:12	11:39:12	11:39:12	11:39:12	11:39:12	11:39:12			11:39:12	11:39:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
6	11:39:12	11:39:12	11:39:12	11:39:12	11:39:12	11:39:12			11:39:12	11:39:12	11:39:12	11:39:12	11:39:15	11:39:15	11:39:15	11:39:15	11:39:15	11:39:15			11:39:15	11:39:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
7	11:39:15	11:39:15	11:39:15	11:39:15	11:39:15	11:39:15			11:39:15	11:39:15	11:39:15	11:39:15	11:39:18	11:39:18	11:39:18	11:39:18	11:39:18	11:39:18			11:39:18	11:39:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
8	11:39:18	11:39:18	11:39:18	11:39:18	11:39:18	11:39:18			11:39:18	11:39:18	11:39:19	11:39:19	11:39:21	11:39:21	11:39:21	11:39:21	11:39:21	11:39:21			11:39:22	11:39:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
9	11:39:22	11:39:22	11:39:22	11:39:22	11:39:22	11:39:22			11:39:22	11:39:22	11:39:22	11:39:22	11:39:24	11:39:24	11:39:24	11:39:24	11:39:24	11:39:24			11:39:25	11:39:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
10	11:39:25	11:39:25	11:39:25	11:39:25	11:39:25	11:39:25	11:39:25	11:39:25	11:39:25	11:39:25	11:39:25	11:39:25	11:39:28	11:39:28	11:39:28	11:39:28	11:39:28	11:39:28	11:39:28	11:39:28	11:39:28	11:39:28		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03
